# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1248 b,2024,259.0235918,63.1056072,168.735,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1249 b,2024,200.5615762,66.3085331,139.49,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-125 b,2019,23.5934253,-66.6763495,111.059,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-125 c,2019,23.5934253,-66.6763495,111.059,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-125 d,2020,23.5934253,-66.6763495,111.059,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1259 A b,2021,282.1001665,79.2564761,118.106,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1260 b,2021,157.1440712,65.8541986,73.5977,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1260 c,2021,157.1440712,65.8541986,73.5977,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1260 d,2022,157.1440712,65.8541986,73.5977,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1266 b,2020,197.9965833,65.8336973,36.0118,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1266 c,2020,197.9965833,65.8336973,36.0118,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1268 b,2022,198.3885831,62.3053799,109.557,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1269 b,2024,249.6966397,64.559181,172.138,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1272 b,2022,199.1962036,49.8610591,137.572,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1273 b,2024,214.1208564,58.3902534,177.118,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1278 b,2021,320.4784442,35.648625,75.5759,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1279 b,2024,185.0628734,56.2014094,107.055,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-128.01,2024,79.5209381,-80.964384,68.4727,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1288 b,2022,313.1670294,65.6087833,114.865,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1294 b,2024,223.0926408,70.4765573,332.648,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1296 b,2021,256.7706392,70.2384806,323.265,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1298 b,2021,241.3229012,70.1900397,319.036,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-132 b,2020,338.3996623,-43.436872,163.678,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1333 b,2021,325.0145363,48.4067674,200.492,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1338 b,2020,92.1330955,-59.5409853,399.017,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1347 b,2024,280.3266806,70.2900536,147.476,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1347 c,2024,280.3266806,70.2900536,147.476,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1386 b,2024,334.5041029,54.3190454,146.858,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-139 b,2023,336.4024144,-34.9097131,42.4061,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1408 b,2023,313.5110469,72.5806455,139.484,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1408 c,2024,313.5110469,72.5806455,139.484,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1410.01,2024,334.8828486,42.5603141,72.7512,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1411 b,2022,232.946047,47.0555507,32.4778,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1416 b,2023,216.9234892,41.9529862,55.0135,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1420 b,2023,322.9418092,66.3490054,201.918,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1422 b,2022,354.240829,39.6392793,155.141,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1431 b,2021,316.2036922,55.5880221,148.925,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1437 b,2024,256.1387513,56.842549,103.297,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1439 b,2024,241.7639371,67.8776404,230.306,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1442 b,2022,287.2921006,74.1742762,41.1659,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1443 b,2024,297.398678,76.1391776,85.8034,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1444 b,2021,305.4749252,70.9437054,125.463,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1448 b,2024,316.324003,57.7710946,73.3345,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1450 A b,2024,286.8540627,59.0866254,22.4467,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1451 b,2024,186.5242821,61.2589289,91.9362,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1452 b,2022,290.1739741,73.1951082,30.5212,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1467 b,2024,19.1146441,49.2331382,37.4418,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1468 b,2022,16.6538724,19.2249195,24.7399,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1468 c,2022,16.6538724,19.2249195,24.7399,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1470 b,2023,10.0891431,61.2133868,51.9503,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1470 c,2023,10.0891431,61.2133868,51.9503,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1472 b,2024,14.1142611,48.6375168,121.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1478 b,2021,126.4337428,-13.5595485,152.892,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-150.01,2019,112.965421,-73.6060358,336.267,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1516 b,2022,340.0846204,69.5037313,247.054,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-157 b,2020,73.7014398,-76.6806061,355.683,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1601 b,2021,38.361569,41.0134321,336.608,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-163 b,2019,79.7682532,-71.8955269,411.719,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1634 b,2021,56.3906096,37.1122803,35.2736,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1669 c,2024,45.9564744,83.5874273,111.276,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1670 b,2022,259.0172522,72.1611806,168.067,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1670 c,2022,259.0172522,72.1611806,168.067,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1680 b,2023,292.313979,65.9738018,37.2209,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1683.01,2024,65.9796504,27.8223701,51.1884,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1685 b,2021,68.5939529,43.0370395,37.6153,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-169 b,2020,16.7786879,-75.1989452,407.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1691 b,2024,272.4041179,86.860343,111.445,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1693 b,2022,90.3083455,34.7730904,30.7947,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1694 b,2023,97.7487104,66.3605956,124.68,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1695 b,2022,21.9217346,72.2966148,45.1309,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1696 b,2022,65.280648,48.8198312,64.9172,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1710 b,2022,94.2838373,76.21102,81.2271,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-172 b,2019,316.6318791,-26.6928654,342.831,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1723 b,2024,116.7971978,68.4766845,100.727,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1728 b,2020,120.6116787,64.7971531,60.798,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1736 b,2023,43.4344615,69.101345,88.9482,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1739 b,2024,240.172481,83.2586589,70.9819,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1742 b,2024,257.3288678,71.8766724,72.8871,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1749 b,2021,282.7372281,64.419466,99.5561,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1749 c,2021,282.7372281,64.419466,99.5561,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1749 d,2021,282.7372281,64.419466,99.5561,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1751 b,2024,243.4888534,63.5335297,113.335,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1753 b,2024,252.4698351,61.1735768,226.671,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1758 b,2024,354.741581,75.6852317,96.6215,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1759 b,2022,326.8516615,62.7538164,40.0654,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1775 b,2024,150.1151015,39.4577506,149.234,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1776 b,2024,164.7772913,40.9837182,44.647,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-178 b,2021,7.3020115,-30.4541159,62.699,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-178 c,2021,7.3020115,-30.4541159,62.699,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-178 d,2021,7.3020115,-30.4541159,62.699,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-178 e,2021,7.3020115,-30.4541159,62.699,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-178 g,2021,7.3020115,-30.4541159,62.699,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1789 b,2021,142.743406,26.5399951,229.067,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1794 b,2024,203.3974857,49.0608433,155.791,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1798.01,2024,211.0939367,46.5192825,113.181,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1798.02,2024,211.0939367,46.5192825,113.181,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1799 b,2024,167.2329152,34.3030149,62.1274,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1801 b,2023,175.5755995,23.0270335,30.6796,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1806.01,2024,166.1181474,30.4585763,55.5211,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1807 b,2021,201.2826259,38.9223671,42.5775,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-181 b,2023,352.1725409,-34.4914099,96.2338,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1811 b,2023,188.9223576,27.2143766,128.23,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1820 b,2022,187.6867207,27.4520016,248.504,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1823 b,2024,196.2197201,63.753261,71.6456,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1824 b,2024,197.7312286,61.7448492,59.4314,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1836 b,2024,245.9079242,54.6900774,191.649,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1836 c,2024,245.9079242,54.6900774,191.649,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1842 b,2021,201.9626552,9.0306437,223.465,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1853 b,2023,211.4593468,16.9923703,165.105,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1855 b,2024,205.3539534,17.6868719,176.833,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1859 b,2023,279.8317644,69.5228726,224.385,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1860 b,2022,226.4567308,64.0476821,45.864,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1898 b,2024,144.5553,23.5467464,79.6682,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1899 b,2020,299.4268472,40.1433462,128.438,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1937 A b,2023,116.3707214,-52.3832587,415.135,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-198 b,2023,2.2715087,-27.1217452,23.7262,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-199 b,2023,80.1058735,-59.8954326,102.27,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-1994 b,2024,147.1745753,-51.756564,515.603,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2000 b,2023,146.3970631,-66.6866307,175.713,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2000 c,2023,146.3970631,-66.6866307,175.713,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-201 b,2021,87.4017825,-54.910423,113.825,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2010 b,2023,292.1669417,53.4873694,109.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2015 b,2023,232.1326528,27.361073,47.3444,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2018 b,2023,229.8374423,29.2078771,27.9956,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2019 b,2024,234.4317651,48.955206,198.007,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2025 b,2022,282.7952558,82.2454143,335.985,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2046 b,2022,16.1849423,74.3313055,289.668,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2048 b,2022,237.9241066,52.3063083,116.567,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-206 b,2022,73.7382202,-62.521874,47.7465,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2068 b,2024,186.27356,60.4183455,52.9328,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2076 b,2021,217.3920159,39.7903991,41.9091,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2076 c,2021,217.3920159,39.7903991,41.9091,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2076 d,2021,217.3920159,39.7903991,41.9091,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2081 b,2022,264.3022634,53.0255666,62.3446,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2084 b,2023,259.2545389,72.7470231,114.549,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2088 b,2024,261.3748943,75.8822796,126.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2095 b,2023,285.6365235,75.4185135,41.9176,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2095 c,2023,285.6365235,75.4185135,41.9176,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2096 b,2023,151.6186989,74.8272107,48.4809,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2096 c,2023,151.6186989,74.8272107,48.4809,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2107 b,2024,286.7965405,-58.6968348,236.705,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2109 b,2021,253.1862971,16.5799153,262.041,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2120 b,2024,23.507315,65.5139877,32.1755,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2128 b,2024,256.9817998,32.1053027,36.578,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2134 b,2023,271.9355015,39.0729269,22.6202,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2134 c,2023,271.9355015,39.0729269,22.6202,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2136 b,2022,281.1763433,36.5631318,33.3631,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2141 b,2023,258.7623456,18.3403449,77.682,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2145 b,2023,263.7580753,40.6950428,224.731,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2152 A b,2023,26.3389717,77.7901231,303.006,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2154 b,2023,71.0281482,84.3642652,296.46,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2158 b,2022,276.8100527,20.5268868,198.473,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-216.01,2019,73.9800129,-63.2603301,177.945,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-216.02,2019,73.9800129,-63.2603301,177.945,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2180 b,2022,277.94363,56.6506789,116.685,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2184 b,2022,100.8331246,-66.9476563,788.317,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2193 A b,2022,313.691232,-72.8046404,337.064,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2194 b,2023,299.1563393,-31.3351812,19.5711,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2196 b,2022,312.3400744,-70.4850723,259.947,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-220 b,2021,91.7996988,-61.9972098,90.7402,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2202 b,2021,51.2284214,-73.9575458,235.933,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2207 b,2022,307.5966925,-44.8876181,373.345,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2236 b,2022,20.1660113,-86.979965,355.59,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2257 b,2021,194.7396141,77.6617157,57.7911,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2260 b,2022,247.6669998,49.0467891,101.251,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2266 b,2024,245.2800398,31.5770413,51.6004,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2285 b,2021,332.5632644,58.7060934,42.409,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2337 b,2022,290.6198948,60.8539035,536.046,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2338 b,2023,81.3445824,-34.6682491,313.996,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2364 b,2023,89.1300265,-5.0120298,219.614,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2368 b,2024,134.9576234,-48.4884929,210.915,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-237 b,2020,353.2435381,-29.416487,38.0749,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2373 b,2023,61.6862197,-16.7557546,508.686,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2374 b,2024,319.4982407,-22.0498228,134.655,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2379 b,2024,358.0920465,-53.043156,211.247,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-238 b,2024,349.2310814,-18.6066463,80.5407,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2384 b,2024,36.1561463,-65.0001957,191.51,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2406 b,2021,8.8060544,-3.3720833,55.419,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2411 b,2022,20.9224567,-8.7017944,59.5362,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2416 b,2023,57.3389409,-60.7871861,557.733,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2421 b,2022,33.1540208,-35.3909182,327.927,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2427 b,2022,52.2917315,-31.3628665,28.5147,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-244 b,2023,10.5697537,-36.7179743,22.0337,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2443 b,2023,40.1798608,1.1996757,23.9258,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2445 b,2022,43.3161555,0.0523366,48.582,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2447 b,2024,70.9975864,-31.9066369,148.987,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2459 b,2023,82.1433321,-39.3730456,36.6113,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2497 b,2023,90.0625878,11.8840577,285.289,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2498 b,2023,95.4162204,11.2516477,275.265,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-251 b,2021,353.0620655,-37.2558629,99.523,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2524 b,2023,160.8868435,-1.9126984,438.842,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2525 b,2023,86.8509737,-60.5213081,395.398,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2525 c,2023,86.8509737,-60.5213081,395.398,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2529 b,2024,118.9945352,-52.3548332,296.271,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2545 b,2022,135.5458029,-3.4208194,107.118,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2567 b,2022,288.4656683,66.3479375,504.775,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-257 b,2021,47.5172608,-50.8322632,76.9028,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2570 b,2022,87.1880397,32.0840435,361.857,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2583 A b,2023,272.2670293,45.3368996,566.189,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2587 A b,2023,115.9317105,-1.073333,373.675,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOI-2589 b,2023,107.4881501,-37.230948,200.273,,,,,,,,,,,,,,,,,,,,,,,,,,,
